id,kind,title,start,end,state,why,done_when
M1,milestone,The build tells the truth,2026-08-06,2026-08-14,active,"Ogni piano piu' sotto assume che board, repo e produzione dicano la stessa cosa. CORRETTO L'8 AGOSTO, dopo aver provato a eseguire il controllo invece di descriverlo: il problema non era che la storia delle migrazioni e il repo litigassero su cinque nomi. Quei cinque nomi erano gia' coperti (013 e 038) - davvero cosmetici. Il problema vero era che il repo NON RICOSTRUIVA AFFATTO un database: public.rls_auto_enable() esisteva in produzione e in nessun file, la 032 ne revoca l'EXECUTE, quindi un clone nuovo si fermava alla 032 e perdeva tutto fino alla 046. Nessun controllo lo diceva perche' nessuno aveva mai provato a ricostruire. Piu' tre item marcati Done che non girano. Questa milestone costa poche ore e rende verificabile, invece che assunto, tutto quello che viene dopo.","Lo script di ricostruzione (scripts/schema_check.sh) applica 001->NNN su un Postgres vuoto con 0 errori e le otto impronte di schema coincidono con la produzione - NON ""supabase db diff pulito"": con la numerazione NNN_nome.sql la CLI non riesce ad appaiare i file e quel diff non e' utilizzabile qui; il ritentativo notturno ha dimostrabilmente girato almeno una volta (una riga in system_job_runs); ogni finding dell'advisor e' risolto oppure accettato per iscritto CON una condizione di scadenza; DATA_COMPLIANCE.md e' davvero nel repo."
M2,milestone,We hold only what we can justify,2026-08-06,2026-08-31,urgent,"The highest-priority milestone on the board, previously the lowest-priority section. A customer's exact address goes to five strangers before any of them is chosen, the AI-labelling obligation is already in force, and pro phone numbers are publicly readable by policy. None of it is expensive to fix; all of it gets far more expensive the day a real customer or the Garante notices.","The address exists in one structured column, is disclosed only after the customer accepts a pro, and appears in no LLM prompt; historic rows are backfilled; the chat says plainly that Bob is an AI; no personal field is readable by anon that shouldn't be."
M3,milestone,Nobody is left waiting in the dark,2026-08-15,2026-09-30,active,"Today a pro can reply and the customer learns nothing until they happen to come back and look — the email pipeline is fully built and switched off for want of an API key. Below a founder watching the database by hand, the funnel dies silently. This is the cheapest growth work available: it makes the product work when nobody is watching it.","A request from a stranger reaches a reply, a booked appointment or an explicit dead end with zero founder intervention — and the customer gets a strictly non-promotional email at each of those moments. No screen dead-ends on empty, loading or error."
M4,milestone,A pro becomes credible without a human,2026-08-08,2026-10-31,active,"The badge is the only thing that lets a stranger choose between five names on a list. If granting it costs staff time it cannot scale past Milano, and if what a level unlocks isn't decided, the block has no acceptance test at all. The decision (10.11) gates ranking, so it comes first, not last.","A pro signs up, submits a VAT number as the last onboarding step, and in the happy path gets a level with zero staff touch; the review queue has an SLA and a searchable register; the level's meaning is written down and visibly weighs in ranking."
M5,milestone,We can see what is happening,2026-09-01,2026-09-30,open,"There is no analytics tool installed at all. Both 2027 KPI gates are therefore unfalsifiable, and the admin dashboard computes aggregates in the page — fine at 12 users, useless at 600 pros. Measurement is also what tells you whether M3 actually worked.","A consent-exempt EU analytics tool is live with no cookie banner; an error and uptime alert reaches a human within minutes of a production failure; verification and funnel numbers come from DB views, not page-time loops."
M6,milestone,A lawyer could sign the site off,2026-09-01,2026-11-30,open,"The terms of service are drafts in docs/legal and the compliance guideline makes a legal basis, a RoPA row and a retention rule part of ""done"" for every feature that touches personal data. Nine months of features shipped ahead of that paperwork, so it is owed retroactively — and it is a hard gate on inviting real professionals.","Customer and pro ToS reviewed by a lawyer and live; the RoPA covers every processing activity actually running; retention rules implemented not just written; DPAs signed with Supabase, Vercel, Anthropic and Resend; one consent record per purpose, with no soft opt-in anywhere."
M7,milestone,Bob can charge money,2026-10-01,2026-12-31,open,"Subscriptions and Boost are the entire revenue model before the protected flow arrives in late 2027. The database groundwork is built and dormant, and a tier is switched by hand in admin today — which is fine for 5 pros and impossible for 80. Ranking ships with it, because a paid Boost with no explainable ranking is a P2B problem.","A pro subscribes with a card, the webhook moves their tier with no admin touch, an invoice exists and is retained for 10 years, and the tier visibly changes what they can do; ranking can explain its own order."
M8,milestone,Milano is ready for real people,2026-11-01,2026-12-31,open,"Launch readiness is three things at once: enough supply that a request finds someone, enough discoverability that a stranger arrives without paid ads, and no embarrassing failure under first real load. Founder outreach starts in October because 60–80 verified pros is a two-month recruiting job, not a launch-week task.","60–80 pros verified and active across 5 core categories; city×service pages indexed and ranking; Google Business Profile live; end-to-end QA passed on client, pro and admin; Core Web Vitals pass; an external security review closed; a rollback tested, not just written."
M9,milestone,GO-LIVE — Milano pilot,2027-01-01,2027-01-31,gate,"The one date on the board that should not move, because everything upstream is sequenced to it. It is a gate, not a workstream: either the eight milestones above passed their tests or the date slips — and knowing that in November is the entire point of having tests.",Production cutover done; founding pros active in 5 categories; subscriptions and Boost live; PR wave out; the first pro pays without anyone touching the database.
L1,lane,Company & bureaucracy,2026-09-01,2027-09-30,parallel,"Trademark, incorporation and grant applications have their own calendars and gate nothing in the product. They were interleaved with build work in the old board, which is a large part of why it read as chaotic — three of the ten sections were non-product work sorted by theme rather than by dependency.","Not a state of the product. Track by deadline: each item has an external clock (filing window, notary, Invitalia call) and belongs on a calendar, not on the build spine."
