milestone,id,parent,track,owner,status,start,end,task
M3,15.4,15,Client/Pro,André,Open,2026-12-01,2026-12-20,"Activate email notifications (Resend): account, DNS/DKIM, env vars, deliverability test"
M3,8.9,8,Client/Pro,André,Open,2026-08-15,2026-09-30,Empty / error / loading states + server-side validation pass
M3,Bx,,Client/Pro,André,Dormant,,,Email notifications pipeline — si accende con RESEND_API_KEY + DNS/DKIM (vedi M3/15.4)
M4,10.10,10,Shared,Lucio,Open,2026-08-04,2026-08-29,"Adempimenti: riga nel registro trattamenti, informativa privacy, retention di vat_check_payload, ToS (una P.IVA per profilo, durata)"
M4,10.13,10,Internal,Lucio,Open,2026-09-08,2026-09-25,"Registro verifiche: pagina dedicata con filtri (professionista, tipo evento, periodo, operatore), paginazione ed export CSV. Oggi in coda si vedono solo gli ultimi 100 movimenti"
M4,10.1b,10,Shared,Lucio,Open,2026-09-01,2026-10-15,"Gradino 3 via Openapi: stato+denominazione 2-5 centesimi a professionista (listino 01/08), PEC impresa 3 cent. Sandbox gratuita; serve DPA art.28"
M4,10.3,10,Client/Pro,Lucio,Open,2026-10-01,2026-10-31,"Il livello pesa nel ranking (parametri dichiarati, Reg. P2B) + SLA 48h sulla coda"
M4,10.4,10,Internal,Lucio,Open,2026-08-04,2026-08-12,"Scadenza della verifica (proposta 6 mesi) + ricontrollo periodico con declassamento assistito, mai automatico"
M4,10.5,,Internal,Lucio,Dormant,,,"Ritentativo notturno (cron Vercel, 22:00 UTC = mezzanotte italiana): esce subito se non c'e' nulla in attesa, max 5 notti per caso, non ripete a meno di 20h [mig 043] — si accende con CRON_SECRET in Vercel Production (vedi M1/10.14)"
M4,10.7,10,Internal,Lucio,Open,2026-08-08,2026-08-22,"Telemetria in /admin/analisi: quanti tentano, quanti conferma il VIES, quanti finiscono a mano, tempi di lavorazione"
M4,10.8,10,Client/Pro,Lucio,Open,2026-08-11,2026-08-25,Richiesta della P.IVA come ultimo passo dell'onboarding professionista AGGIORNAMENTO 14/08: l'onboarding pro ora esiste (piano → questionario → profilo) e la verifica e' gated sui tier a pagamento; decidere se la P.IVA diventa l'ultimo passo dell'onboarding per chi sceglie Pro/Business.
M4,10.9,10,Internal,Lucio,Open,2026-09-01,2026-09-20,"Casi limite: P.IVA sospesa per affitto d'azienda, Gruppo IVA, cessata + raccolta codice fiscale (base per DAC7)"
M5,15.5,15,Internal,Lucio,Open,2026-12-10,2026-12-31,"Error monitoring, uptime alerts, backups; go-live checklist + rollback"
M5,N14,,Internal,Lucio,Open,2026-09-01,2026-09-20,"Install a consent-exempt EU analytics tool (Plausible or Matomo, Garante 7.2) — no cookie banner, no user-level tracking. Nothing is installed today"
M5,N7,,Internal,Lucio,Open,2026-09-01,2026-09-30,"Move the /admin/analisi aggregates into DB views (known debt from the 18 Jul note: computed in-page, fine at demo volume)"
M5,N8,,Internal,Lucio,Open,2026-09-01,2026-09-15,"Decide whether abandoned chats get logged — only completed briefs are counted today, so funnel drop-off is invisible"
M6,23,,Shared,,Open,2026-09-01,2026-11-30,"Site legal docs (ToS, privacy, cookie + consent banner) + lawyer review"
M6,25.1,25,Internal,Lucio,Open,2026-11-01,2027-01-31,Registro trattamenti + retention policy; consent flows audit; breach procedure
M6,25.2,25,Shared,,Open,2026-11-15,2026-12-31,"DPAs with processors (Supabase, Vercel, Anthropic, Stripe, Resend)"
M6,N10,,Shared,Lucio,Open,2026-09-01,2026-11-30,"DPIA on the matching / job-brief LLM flow, written before launch rather than after"
M6,N9,,Internal,Lucio,Open,2026-09-01,2026-10-15,Waitlist launch email needs an explicit 'contact me at launch' checkbox before a single send — no soft opt-in for Bob
M6,23.1,23,Shared,Lucio,Open,2026-09-01,2026-11-30,"Controllo consumeristico sul listino pro pubblicato l'08/08: la tabella elenca le funzioni del Business Plan §6.2, fra cui fatturazione elettronica integrata, pagamenti inclusi e analytics avanzate, che non esistono ancora in prodotto. Oggi il rischio e' contenuto perche' non c'e' checkout (il tier lo assegna l'admin), ma quando si accende Stripe (12.1) elencare funzioni non disponibili e' pratica commerciale ingannevole (Codice del Consumo art. 21-22). Decidere per ogni riga: costruirla, riscriverla o rimuoverla."
M7,11.1,11,Internal,Lucio,Open,2026-10-01,2026-10-31,"Ranking algorithm v1: response rate, closure rate, reviews (data logic)"
M7,11.2,11,Client/Pro,André,Open,2026-10-15,2026-11-15,Ranking explanation UI (seeded by 'why this pro' line)
M7,11.3,11,Client/Pro,André,Open,2026-11-01,2026-11-30,Boost purchase + placement logic; quality floor
M7,12.1,12,Client/Pro,André,Open,2026-10-01,2026-11-30,Stripe products & prices; checkout + customer portal
M7,12.2,12,Shared,André,Open,2026-11-01,2026-11-30,Webhooks -> subscription_tier sync (replaces manual switch)
M7,12.3,12,Client/Pro,André,Open,2026-11-15,2026-12-31,"Founding-pro coupon; failed payments, invoices, receipts"
M7,PG,,Shared,Claude,Dormant,,,Payments/subscriptions groundwork — si accende con Stripe (vedi M7/12.1)
M7,12.4,12,Client/Pro,André,Open,2026-10-01,2026-12-31,"Allineare il gating in codice al listino pubblicato su /per-i-professionisti (08/08): la tabella piani annuncia ranking privilegiato, richieste illimitate, preventivi digitali e assistente AI, ma oggi il tier gates SOLO le foto portfolio (PORTFOLIO_LIMITS 0/1/illimitato) e la prenotazione diretta (InstantBookingConfig, pro+). Finche' il gating non c'e', il Free ha di fatto quasi tutto il Pro: nessuno ha motivo di pagare. Va chiuso PRIMA del checkout (12.1)."
